,Item Name,Sales,Avg Price,Total Transactions
108,"Freak's Bite, Favor of Holy Might",59.99,4.614615384615385,13
143,"Alpha, Reach of Ending Hope",50.76000000000002,4.230000000000001,12
92,Stormfury Longsword,41.21999999999999,4.579999999999999,9
100,Thunderfury Scimitar,28.990000000000002,3.2211111111111115,9
131,Dragon's Greatsword,31.770000000000003,3.5300000000000002,9
81,"Mercy, Katana of Dismay",44.099999999999994,4.8999999999999995,9
169,Exiled Doomblade,19.36,2.42,8
162,Hopeless Ebon Dualblade,34.800000000000004,4.3500000000000005,8
21,Azurewrath,17.76,2.22,8
136,Haunted Bronzed Bludgeon,25.28,3.16,8
95,"Despair, Favor of Due Diligence",8.159999999999998,1.0199999999999998,8
116,Rusty Skull,28.319999999999997,3.5399999999999996,8
4,"Lazarus, Terror of the Earth",30.16,3.77,8
165,Retribution Axe,33.84,4.23,8
98,Sleepwalker,30.799999999999997,4.3999999999999995,7
40,Feral Katana,12.529999999999998,1.7899999999999996,7
161,Serenity,12.25,1.75,7
82,"Spada, Etcher of Hatred",10.079999999999998,1.4399999999999997,7
89,"Fate, Vengeance of Eternal Justice",11.27,1.6099999999999999,7
57,Arcane Gem,14.350000000000001,2.0500000000000003,7
168,Abyssal Shard,9.31,1.33,7
24,Glinting Glass Edge,21.560000000000002,3.0800000000000005,7
151,Foul Edge,11.409999999999997,1.6299999999999994,7
132,Splinter,18.54,3.09,6
178,"Thorn, Satchel of Dark Souls",15.12,2.52,6
71,Dreamsong,15.0,2.5,6
96,"The Oculus, Token of Lost Worlds",26.4,4.3999999999999995,6
119,Yearning Crusher,11.82,1.97,6
37,Righteous Might,9.24,1.54,6
140,Thirsty Iron Reaver,11.639999999999999,1.9399999999999997,6
179,Severance,13.08,2.18,6
133,Alpha,26.880000000000003,4.48,6
44,Brimstone,18.48,3.08,6
160,"Pursuit, Cudgel of Necromancy",21.479999999999997,3.5799999999999996,6
53,Blindscythe,14.940000000000001,2.49,6
76,"Torchlight, Bond of Storms",9.360000000000001,1.5600000000000003,6
73,"Oathbreaker, Last Hope of the Breaking Storm",26.1,4.3500000000000005,6
172,Woeful Adamantite Claymore,20.64,3.44,6
7,Final Critic,14.88,2.48,6
72,Bloodlord's Fetish,6.119999999999999,1.0199999999999998,6
9,"The Void, Vengeance of Dark Magic",5.05,1.01,5
181,"Swan Song, Gouger Of Terror",7.199999999999999,1.44,5
102,"Flux, Destroyer of Due Diligence",23.700000000000003,4.74,5
170,"Aetherius, Boon of the Blessed",24.55,4.91,5
138,"Splitter, Foe Of Subtlety",20.45,4.09,5
110,Lifebender,16.95,3.3899999999999997,5
22,"Lightning, Etcher of the King",10.25,2.05,5
15,Celeste,8.85,1.77,5
60,Warped Iron Scimitar,14.450000000000001,2.89,5
176,"Hellreaver, Heirloom of Inception",14.25,2.85,5
25,Mourning Blade,24.700000000000003,4.94,5
84,Soul-Forged Steel Shortsword,8.75,1.75,5
80,Singed Scalpel,19.099999999999998,3.8199999999999994,5
152,"Glimmer, Ender of the Moon",22.15,4.43,5
105,Toothpick,14.7,2.94,5
125,"Deluge, Edge of the West",18.75,3.75,5
56,"Malice, Legacy of the Queen",15.5,3.1,5
34,"Purgatory, Gem of Regret",16.35,3.2700000000000005,5
6,"Expiration, Warscythe Of Lost Worlds",16.95,3.3899999999999997,5
27,"Emberling, Defender of Delusions",21.200000000000003,4.24,5
29,Faith's Scimitar,5.699999999999999,1.14,5
68,Blade of the Grave,19.7,3.94,5
124,Avenger,11.899999999999999,2.38,5
88,"Sun Strike, Jaws of Twisted Visions",16.35,3.2700000000000005,5
20,"Peacekeeper, Wit of Dark Magic",6.65,1.33,5
50,"Shadow Strike, Glory of Ending Hope",9.9,1.98,5
174,Possessed Core,17.25,3.45,5
12,Second Chance,14.8,2.96,5
33,Warped Fetish,5.5,1.1,5
129,"Alpha, Oath of Zeal",13.35,2.67,5
17,Renewed Skeletal Katana,18.25,3.65,5
59,Massacre,8.8,1.7600000000000002,5
39,Persuasion,19.05,3.81,5
164,Betrayer,8.299999999999999,1.6599999999999997,5
134,Vengeance Cleaver,17.25,3.45,5
109,Fury,8.5,1.7,5
10,Twilight's Carver,19.56,4.89,4
54,Conqueror Adamantite Mace,8.72,2.18,4
99,Misery's End,12.12,3.03,4
85,Exiled Mithril Longsword,13.88,3.47,4
139,"Rage, Legacy of the Lone Victor",12.56,3.14,4
41,Nirvana,6.8,1.7,4
150,Devine,14.2,3.55,4
13,Putrid Fan,10.4,2.6,4
117,Blood Infused Guardian,16.28,4.07,4
78,Endbringer,16.72,4.18,4
87,Bone Crushing Silver Skewer,5.64,1.41,4
1,Singed Onyx Warscythe,7.16,1.79,4
62,Ghastly Adamantite Protector,10.92,2.73,4
75,Stormfury Mace,6.4,1.6,4
58,Solitude's Reaver,9.12,2.28,4
74,Mercenary Sabre,5.16,1.29,4
120,Dreamkiss,16.32,4.08,4
145,"Darkheart, Butcher of the Champion",6.84,1.71,4
0,"Ghost Reaver, Longsword of Magic",19.2,4.8,4
2,"Extraction, Quickblade Of Trembling Hands",5.12,1.28,4
146,Trickster,19.44,4.86,4
158,Hatred,14.96,3.74,4
8,Curved Axe,4.12,1.03,4
175,Hero Cane,19.36,4.84,4
46,Wolf,18.4,4.6,4
148,Scalpel,6.96,1.74,4
111,Undead Crusader,12.6,3.15,4
3,"Downfall, Scalpel Of The Emperor",16.0,4.0,4
65,Unending Tyranny,15.88,3.97,4
183,Shadowsteel,15.4,3.85,4
30,Orbit,13.32,3.33,4
157,Netherbane,17.6,4.4,4
123,Dawn,13.84,3.46,4
5,Stormfury Lantern,14.44,3.61,4
144,Whistling Mithril Warblade,18.4,4.6,4
103,Ritual Mace,9.48,2.37,4
135,Frenzied Scimitar,11.77,2.9425,4
51,Crying Steel Sickle,17.6,4.4,4
154,Unholy Wand,8.72,2.18,4
32,Agatha,13.96,3.49,4
77,Foul Titanium Battle Axe,16.56,4.14,4
11,Primitive Blade,17.28,4.32,4
63,The Decapitator,4.199999999999999,1.3999999999999997,3
69,"Winterthorn, Defender of Shifting Worlds",12.09,4.03,3
113,Ragnarok,5.37,1.79,3
153,Fusion Pummel,9.209999999999999,3.07,3
114,"Blazeguard, Reach of Eternity",12.09,4.03,3
149,War-Forged Gold Deflector,14.79,4.93,3
159,Hope's End,7.86,2.62,3
137,Spectral Diamond Doomblade,13.440000000000001,4.48,3
142,Heartless Bone Dualblade,10.2,3.4,3
66,Gladiator's Glaive,3.2700000000000005,1.09,3
97,Victor Iron Spikes,6.209999999999999,2.07,3
163,Crucifer,13.919999999999998,4.64,3
107,Souleater,11.790000000000001,3.93,3
16,Striker,7.779999999999999,2.5933333333333333,3
42,Winter's Bite,14.25,4.75,3
19,Soul Infused Crystal,8.879999999999999,2.9599999999999995,3
83,Darkheart,6.8100000000000005,2.27,3
28,"Chaos, Ender of the End",5.61,1.87,3
94,Venom Claymore,14.46,4.82,3
182,"Betrayal, Whisper of Grieving Widows",12.54,4.18,3
70,Eternal Cleaver,12.149999999999999,4.05,3
18,Deathraze,11.370000000000001,3.7900000000000005,3
166,"Heartstriker, Legacy of the Light",6.8100000000000005,2.27,3
173,"Riddle, Tribute of Ended Dreams",11.61,3.8699999999999997,3
167,"Piety, Guardian of Riddles",12.96,4.32,3
155,"Frenzy, Defender of the Harvest",8.55,2.85,3
128,Verdict,7.5,2.5,3
156,Phantomlight,10.23,3.41,3
147,Stormcaller,14.28,4.76,3
35,Fiery Glass Crusader,14.22,4.74,3
171,Worldbreaker,9.86,4.93,2
52,"Stormbringer, Dark Blade of Ending Misery",2.12,1.06,2
106,"Heartseeker, Reaver of Souls",4.16,2.08,2
38,"Wolf, Promise of the Moonwalker",3.1,1.55,2
91,Bonecarvin Battle Axe,2.32,1.16,2
118,Apocalyptic Battlescythe,2.96,1.48,2
67,Yearning Mageblade,2.0,1.0,2
45,"Blazefury, Protector of Delusions",9.3,4.65,2
49,Reaper's Toll,7.08,3.54,2
121,Amnesia,4.96,2.48,2
79,Vindictive Glass Edge,5.68,2.84,2
14,"Deadline, Voice Of Subtlety",5.22,2.61,2
43,Demise,2.24,1.12,2
31,Hailstorm Shadowsteel Scythe,5.84,2.92,2
64,"Celeste, Incarnation of the Corrupted",4.9,2.45,2
86,"Oathbreaker, Spellblade of Trials",7.84,3.92,2
93,"Storm-Weaver, Slayer of Inception",9.98,4.99,2
26,Warped Diamond Crusader,4.08,2.04,2
122,Dawne,3.96,1.98,2
61,Malificent Bag,7.22,3.61,2
48,"Interrogator, Blood Blade of the Queen",7.4,3.7,2
